Ticker,Company,Sector,Industry,Country,Price,Market Cap (billions)
CTVA,Corteva Inc,Basic Materials,Agricultural Inputs,USA,59.93,41.19
CVNA,Carvana Co,Consumer Cyclical,Auto & Truck Dealerships,USA,194.51,40.39
CVS,CVS Health Corp,Healthcare,Healthcare Plans,USA,51.52,64.83
CVX,Chevron Corp,Energy,Oil & Gas Integrated,USA,155.35,279.18
CW,Curtiss-Wright Corp,Industrials,Aerospace & Defense,USA,350.66,13.31
D,Dominion Energy Inc,Utilities,Utilities - Regulated Electric,USA,53.46,44.91
DAL,"Delta Air Lines, Inc",Industrials,Airlines,USA,65.1,42.01
DASH,DoorDash Inc,Communication Services,Internet Content & Information,USA,168.37,69.94
DAY,Dayforce Inc,Technology,Software - Application,USA,70.42,11.11
DD,DuPont de Nemours Inc,Basic Materials,Specialty Chemicals,USA,74.43,31.11
DDOG,Datadog Inc,Technology,Software - Application,USA,138.0,46.88
DE,Deere & Co,Industrials,Farm & Heavy Construction Machinery,USA,429.91,116.75
DECK,Deckers Outdoor Corp,Consumer Cyclical,Footwear & Accessories,USA,204.59,31.08
DELL,Dell Technologies Inc,Technology,Computer Hardware,USA,110.17,77.17
DFS,Discover Financial Services,Financial,Credit Services,USA,175.68,44.15
DG,Dollar General Corp,Consumer Defensive,Discount Stores,USA,71.59,15.74
DGX,"Quest Diagnostics, Inc",Healthcare,Diagnostics & Research,USA,154.02,17.19
DHI,D.R. Horton Inc,Consumer Cyclical,Residential Construction,USA,138.4,44.4
DHR,Danaher Corp,Healthcare,Diagnostics & Research,USA,239.88,173.26
DIS,Walt Disney Co,Communication Services,Entertainment,USA,108.08,195.73
DKNG,DraftKings Inc,Consumer Cyclical,Gambling,USA,39.83,35.08
DKS,"Dicks Sporting Goods, Inc",Consumer Cyclical,Specialty Retail,USA,224.44,18.29
DLR,Digital Realty Trust Inc,Real Estate,REIT - Specialty,USA,171.92,57.03
DLTR,Dollar Tree Inc,Consumer Defensive,Discount Stores,USA,71.15,15.3
DOC,Healthpeak Properties Inc,Real Estate,REIT - Healthcare Facilities,USA,20.0,14.27
DOCU,DocuSign Inc,Technology,Software - Application,USA,90.02,18.19
DOV,Dover Corp,Industrials,Specialty Industrial Machinery,USA,186.75,25.62
DOW,Dow Inc,Basic Materials,Chemicals,USA,39.67,27.77
DPZ,Dominos Pizza Inc,Consumer Cyclical,Restaurants,USA,410.14,14.16
DRI,"Darden Restaurants, Inc",Consumer Cyclical,Restaurants,USA,182.77,21.41
DT,Dynatrace Inc,Technology,Software - Application,USA,50.51,15.08
DTE,DTE Energy Co,Utilities,Utilities - Regulated Electric,USA,118.22,24.48
DTM,DT Midstream Inc,Energy,Oil & Gas Midstream,USA,105.25,10.61
DUK,Duke Energy Corp,Utilities,Utilities - Regulated Electric,USA,106.14,81.99
DUOL,Duolingo Inc,Technology,Software - Application,USA,316.38,13.92
DVA,DaVita Inc,Healthcare,Medical Care Facilities,USA,157.06,12.88
